Date_start,Date_reported,Biweek_label,Biweek_index,Country,Country_code,WHO_region,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths,Year,Week_num,flag_incomplete_biweek
2021-05-09,2021-05-16,2021-05-09 to 2021-05-16,36,Australia,AU,WPRO,149,0,29975,928,2021,19,0
2021-05-23,2021-05-30,2021-05-23 to 2021-05-30,37,Australia,AU,WPRO,123,0,30098,928,2021,21,0
2021-06-06,2021-06-13,2021-06-06 to 2021-06-13,38,Australia,AU,WPRO,415,0,30513,928,2021,23,0
2021-06-20,2021-06-27,2021-06-20 to 2021-06-27,39,Australia,AU,WPRO,322,0,30835,928,2021,25,0
2021-07-04,2021-07-11,2021-07-04 to 2021-07-11,40,Australia,AU,WPRO,825,2,31660,930,2021,27,0
2021-07-18,2021-07-25,2021-07-18 to 2021-07-25,41,Australia,AU,WPRO,2135,10,33795,940,2021,29,0
2021-08-01,2021-08-08,2021-08-01 to 2021-08-08,42,Australia,AU,WPRO,3980,23,37775,963,2021,31,0
2021-08-15,2021-08-22,2021-08-15 to 2021-08-22,43,Australia,AU,WPRO,9746,49,47521,1012,2021,33,0
2021-08-29,2021-09-05,2021-08-29 to 2021-09-05,44,Australia,AU,WPRO,19234,72,66755,1084,2021,35,0
2021-09-12,2021-09-19,2021-09-12 to 2021-09-19,45,Australia,AU,WPRO,24897,133,91652,1217,2021,37,0
2021-09-26,2021-10-03,2021-09-26 to 2021-10-03,46,Australia,AU,WPRO,27899,205,119551,1422,2021,39,0
2021-10-10,2021-10-17,2021-10-10 to 2021-10-17,47,Australia,AU,WPRO,30628,224,150179,1646,2021,41,0
2021-10-24,2021-10-31,2021-10-24 to 2021-10-31,48,Australia,AU,WPRO,23805,220,173984,1866,2021,43,0
2021-11-07,2021-11-14,2021-11-07 to 2021-11-14,49,Australia,AU,WPRO,18367,163,192351,2029,2021,45,0
2021-11-21,2021-11-28,2021-11-21 to 2021-11-28,50,Australia,AU,WPRO,19074,137,211425,2166,2021,47,0
2021-12-05,2021-12-12,2021-12-05 to 2021-12-12,51,Australia,AU,WPRO,23929,88,235354,2254,2021,49,0
2021-12-19,2021-12-26,2021-12-19 to 2021-12-26,52,Australia,AU,WPRO,131253,123,366607,2377,2021,51,0
2022-01-02,2022-01-09,2022-01-02 to 2022-01-09,53,Australia,AU,WPRO,878427,322,1245034,2699,2022,1,0
2022-01-16,2022-01-23,2022-01-16 to 2022-01-23,54,Australia,AU,WPRO,810285,1100,2055319,3799,2022,3,0
2022-01-30,2022-02-06,2022-01-30 to 2022-02-06,55,Australia,AU,WPRO,468929,1251,2524248,5050,2022,5,0
2022-02-13,2022-02-20,2022-02-13 to 2022-02-20,56,Australia,AU,WPRO,332183,760,2856431,5810,2022,7,0
2022-02-27,2022-03-06,2022-02-27 to 2022-03-06,57,Australia,AU,WPRO,356119,393,3212550,6203,2022,9,0
2022-03-13,2022-03-20,2022-03-13 to 2022-03-20,58,Australia,AU,WPRO,569088,279,3781638,6482,2022,11,0
2022-03-27,2022-04-03,2022-03-27 to 2022-04-03,59,Australia,AU,WPRO,781744,349,4563382,6831,2022,13,0
2022-04-10,2022-04-17,2022-04-10 to 2022-04-17,60,Australia,AU,WPRO,665949,448,5229331,7279,2022,15,0
2022-04-24,2022-05-01,2022-04-24 to 2022-05-01,61,Australia,AU,WPRO,561336,610,5790667,7889,2022,17,0
